CVE,CSS,Severity,EPSS,KEV,VMC
CVE-2015-4852,"9,8",Critical,"""0.928490000""",Yes,Critical priority
CVE-2025-24813,"9,8",Critical,"""0.941830000""",Yes,Critical priority
CVE-2023-44487,"7,5",High,"""0.943560000""",Yes,Critical priority
CVE-2019-10202,"9,8",Critical,"""0.018300000""",No,Defer
CVE-2019-13116,"9,8",Critical,"""0.023890000""",No,Defer
CVE-2020-9493,"9,8",Critical,"""0.003480000""",No,Defer
CVE-2024-52316,"9,8",Critical,"""0.016120000""",No,Defer
CVE-2024-56337,"9,8",Critical,"""0.055800000""",No,Defer
CVE-2025-31651,"9,8",Critical,"""0.000710000""",No,Defer
CVE-2025-55754,"9,6",Critical,"""0.000630000""",No,Defer
CVE-2019-10086,"7,3",High,"""0.003170000""",No,Defer
CVE-2019-10172,"7,5",High,"""0.005250000""",No,Defer
CVE-2021-47621,"7,5",High,"""0.001050000""",No,Defer
CVE-2022-23302,"8,8",High,"""0.003380000""",No,Defer
CVE-2022-23307,"8,8",High,"""0.007060000""",No,Defer
CVE-2022-25857,"7,5",High,"""0.003480000""",No,Defer
CVE-2023-26464,"7,5",High,"""0.000760000""",No,Defer
CVE-2023-36478,"7,5",High,"""0.023350000""",No,Defer
CVE-2023-43642,"7,5",High,"""0.000730000""",No,Defer
CVE-2023-6378,"7,1",High,"""0.003620000""",No,Defer
CVE-2023-6481,"7,1",High,"""0.002240000""",No,Defer
CVE-2023-7272,"8,6",High,"""0.005660000""",No,Defer
CVE-2024-22257,"8,2",High,"""0.002640000""",No,Defer
CVE-2024-22262,"8,1",High,"""0.062520000""",No,Defer
CVE-2024-38286,"8,6",High,"""0.004010000""",No,Defer
CVE-2024-7254,"7,5",High,"""0.000610000""",No,Defer
CVE-2025-22228,"7,4",High,"""0.001190000""",No,Defer
CVE-2025-22235,"7,3",High,"""0.001290000""",No,Defer
CVE-2025-31650,"7,5",High,"""0.032850000""",No,Defer
CVE-2025-41249,"7,5",High,"""0.000720000""",No,Defer
CVE-2025-48734,"8,8",High,"""0.001040000""",No,Defer
CVE-2025-48976,"7,5",High,"""0.001670000""",No,Defer
CVE-2025-48988,"7,5",High,"""0.001170000""",No,Defer
CVE-2025-48989,"7,5",High,"""0.002200000""",No,Defer
CVE-2025-52434,"7,5",High,"""0.001740000""",No,Defer
CVE-2025-52520,"7,5",High,"""0.001180000""",No,Defer
CVE-2025-53506,"7,5",High,"""0.002170000""",No,Defer
CVE-2025-55163,"7,5",High,"""0.001210000""",No,Defer
CVE-2025-55752,"7,5",High,"""0.003000000""",No,Defer
CVE-2025-58056,"7,5",High,"""0.000250000""",No,Defer
CVE-2025-58057,"7,5",High,"""0.000510000""",No,Defer
CVE-2025-66566,"7,5",High,"""0.000660000""",No,Defer
CVE-2026-24400,"7,3",High,"""0.000080000""",No,Defer
CVE-2020-9488,"3,7",Low,"""0.000210000""",No,Defer
CVE-2024-38820,"3,1",Low,"""0.006730000""",No,Defer
CVE-2024-6763,"3,7",Low,"""0.007330000""",No,Defer
CVE-2025-22233,"3,1",Low,"""0.000200000""",No,Defer
CVE-2020-13956,"5,3",Medium,"""0.004850000""",No,Defer
CVE-2020-15250,"4,4",Medium,"""0.000230000""",No,Defer
CVE-2021-43797,"6,5",Medium,"""0.002580000""",No,Defer
CVE-2022-22950,"6,5",Medium,"""0.041220000""",No,Defer
CVE-2022-24823,"5,5",Medium,"""0.002850000""",No,Defer
CVE-2022-38749,"6,5",Medium,"""0.005590000""",No,Defer
CVE-2022-38750,"6,5",Medium,"""0.000830000""",No,Defer
CVE-2022-38751,"6,5",Medium,"""0.001680000""",No,Defer
CVE-2022-38752,"6,5",Medium,"""0.001630000""",No,Defer
CVE-2022-41854,"5,8",Medium,"""0.000920000""",No,Defer
CVE-2023-0833,"4,7",Medium,"""0.000360000""",No,Defer
CVE-2023-20861,"6,5",Medium,"""0.003640000""",No,Defer
CVE-2023-20863,"6,5",Medium,"""0.007750000""",No,Defer
CVE-2023-34462,"6,5",Medium,"""0.005310000""",No,Defer
CVE-2023-3635,"5,9",Medium,"""0.004170000""",No,Defer
CVE-2023-40167,"5,3",Medium,"""0.055320000""",No,Defer
CVE-2023-4043,"5,9",Medium,"""0.001500000""",No,Defer
CVE-2024-12798,"6,6",Medium,"""0.000820000""",No,Defer
CVE-2024-12801,"4,4",Medium,"""0.000490000""",No,Defer
CVE-2024-23444,"4,9",Medium,"""0.002770000""",No,Defer
CVE-2024-23450,"4,9",Medium,"""0.007660000""",No,Defer
CVE-2024-23672,"6,3",Medium,"""0.004640000""",No,Defer
CVE-2024-29025,"5,3",Medium,"""0.002250000""",No,Defer
"CVE-2024-31573


",4,Medium,"""0.000670000""",No,Defer
CVE-2024-38808,"4,3",Medium,"""0.003570000""",No,Defer
CVE-2024-38809,"5,3",Medium,"""0.000760000""",No,Defer
CVE-2024-38827,"4,8",Medium,"""0.002880000""",No,Defer
CVE-2024-47535,"5,5",Medium,"""0.001980000""",No,Defer
CVE-2024-52979,"6,5",Medium,"""0.000400000""",No,Defer
CVE-2024-8184,"5,9",Medium,"""0.007950000""",No,Defer
CVE-2025-11226,"6,9",Medium,"""0.000580000""",No,Defer
CVE-2025-25193,"5,5",Medium,"""0.000630000""",No,Defer
CVE-2025-37727,"5,7",Medium,"""0.000490000""",No,Defer
CVE-2025-37731,"6,8",Medium,"""0.000330000""",No,Defer
CVE-2025-41242,"5,9",Medium,"""0.000700000""",No,Defer
CVE-2025-41254,"4,3",Medium,"""0.000630000""",No,Defer
CVE-2025-46701,"6,5",Medium,"""0.000370000""",No,Defer
CVE-2025-48924,"5,3",Medium,"""0.000220000""",No,Defer
CVE-2025-49124,"6,3",Medium,"""0.000150000""",No,Defer
CVE-2025-49125,"6,5",Medium,"""0.000560000""",No,Defer
CVE-2025-55668,"6,5",Medium,"""0.000130000""",No,Defer
CVE-2025-56769,"6,5",Medium,"""0.001700000""",No,Defer
CVE-2025-59419,"5,3",Medium,"""0.009710000""",No,Defer
CVE-2025-61795,"5,3",Medium,"""0.001190000""",No,Defer
CVE-2025-67735,"6,5",Medium,"""0.000260000""",No,Defer
CVE-2025-68161,"5,4",Medium,"""0.003310000""",No,Defer
CVE-2025-68390,"4,9",Medium,"""0.001370000""",No,Defer
CVE-2026-1225,5,Medium,"""0.000110000""",No,Defer
CVE-2015-7501,"9,8",Critical,"""0.743390000""",No,High priority
CVE-2016-1000027,"9,8",Critical,"""0.428590000""",No,High priority
CVE-2017-15708,"9,8",Critical,"""0.156680000""",No,High priority
CVE-2019-17571,"9,8",Critical,"""0.376060000""",No,High priority
CVE-2022-23305,"9,8",Critical,"""0.113120000""",No,High priority
CVE-2024-38821,"9,1",Critical,"""0.100780000""",No,High priority
CVE-2024-50379,"9,8",Critical,"""0.879190000""",No,High priority
CVE-2014-0114,"7,3",High,"""0.926750000""",No,High priority
CVE-2015-6420,"7,3",High,"""0.181670000""",No,High priority
CVE-2021-4104,"7,5",High,"""0.736890000""",No,High priority
CVE-2022-1471,"8,3",High,"""0.938490000""",No,High priority
CVE-2024-22243,"8,1",High,"""0.482320000""",No,High priority
CVE-2024-22259,"8,1",High,"""0.305120000""",No,High priority
CVE-2024-24549,"7,5",High,"""0.420980000""",No,High priority
CVE-2024-34750,"7,5",High,"""0.181960000""",No,High priority
CVE-2024-38816,"7,5",High,"""0.937730000""",No,High priority
CVE-2024-38819,"7,5",High,"""0.695740000""",No,High priority
CVE-2022-22968,"5,3",Medium,"""0.205100000""",No,Monitor
CVE-2024-52317,"6,5",Medium,"""0.166500000""",No,Monitor